geometry,Lx,D,geometry_id,rx,rz,material
wire,0.3,0.04,wire/Lx_0.3/D_0.04/,,,
wireSphEnds,0.3,0.04,wireSphEnds/Lx_0.3/D_0.04/,,,
wire,0.4,0.04,wire/Lx_0.4/D_0.04/,,,
wire,0.4,0.08,wire/Lx_0.4/D_0.08/,,,
spheroid,,,spheroid/rx_0.4/rz_0.08/,0.4,0.08,
spheroid,,,spheroid/rx_0.04/rz_0.08/,0.04,0.08,
sphere,,0.04,sphere/D_0.04/,,,
sphere,,0.07,sphere/D_0.07/,,,
sphere,,0.111,sphere/D_0.111/,,,
sphere,,0.0111,sphere/D_0.0111/,,,
sphere,,0.0222,sphere/D_0.0222/,,,
sphere,,0.012121212,sphere/D_0.012121212/,,,
sphere,,1.2121212000000001e-05,sphere/D_1.2121212e-05/,,,
sphere,,1.0,sphere_D_1.2121212e-05,,,
spheroid,,,spheroid_rx_0.04_rz_0.08,0.04,0.0,
wire,0.04,0.0,wire_Lx_0.04_D_0.08,,,
wireSphEnds,0.04,0.0,wireSphEnds_Lx_0.04_D_0.08,,,
wireSphEnds,0.0004,0.0,wireSphEnds_Lx_0.0004_D_0.0008,,,
sphere,,0.0,sphere_D_0.003,,,
sphere,,0.0,sphere_D_0.004,,,
sphere,,1.0,sphere_D_1,,,
sphere,,1.0,sphere_D_1.25,,,
sphere,,2.0,sphere_D_2,,,[]
sphere,,2.0,sphere_D_2.5,,,[]
sphere,,0.0,sphere_D_0.5,,,[]
sphere,,0.0,sphere_D_0.625,,,[]
sphere,,1.0,sphere_D_1.5,,,[]
sphere,,1.0,sphere_D_1.875,,,[]
spheroid,,,spheroid/rx_0.03/rz_0.03,0.03,0.0,[]
spheroid,,,spheroid_rx_0.03_rz_0.03,0.03,0.0,[]
spheroid,,,spheroid_rx_0.03_rz_0.01111,0.03,0.0,[]
spheroid,,,spheroid_rx_4.051_rz_7.418,4.051,7.0,[]
spheroid,,,spheroid_rx_5.469_rz_5.756,5.468999999999999,5.0,[]
spheroid,,,spheroid_rx_3.328_rz_9.352,3.3280000000000003,9.0,[]
spheroid,,,spheroid_rx_0.293_rz_5.658,0.293,5.0,[]
spheroid,,,spheroid_rx_7.58_rz_0.616,7.58,0.0,[]
spheroid,,,spheroid_rx_8.069_rz_0.265,8.068999999999999,0.0,[]
spheroid,,,spheroid_rx_8.546_rz_1.806,8.546,1.0,[]
spheroid,,,spheroid_rx_4.634_rz_0.542,4.6339999999999995,0.0,[]
spheroid,,,spheroid_rx_1.11_rz_6.608,1.11,6.0,[]
spheroid,,,spheroid_rx_5.868_rz_1.853,5.867999999999999,1.0,[]
spheroid,,,spheroid_rx_9.989_rz_1.07,9.989,1.0,[]
spheroid,,,spheroid_rx_10.0_rz_10.0,10.0,10.0,[]
spheroid,,,spheroid_rx_2.0_rz_2.0,2.0,2.0,[]
spheroid,,,spheroid_rx_5.916_rz_7.462,5.916,7.0,[]
spheroid,,,spheroid_rx_1.853_rz_9.36,1.853,9.0,[]
spheroid,,,spheroid_rx_2.081_rz_5.63,2.081,5.0,[]
spheroid,,,spheroid_rx_5.875_rz_4.356,5.875,4.0,[]
spheroid,,,spheroid_rx_0.584_rz_2.45,0.584,2.0,[]
spheroid,,,spheroid_rx_6.167_rz_8.299,6.1670000000000025,8.0,[]
spheroid,,,spheroid_rx_0.465_rz_8.94,0.465,8.0,[]
spheroid,,,spheroid_rx_9.834_rz_9.144,9.834,9.0,[]
spheroid,,,spheroid_rx_7.895_rz_3.505,7.895,3.0,[]
spheroid,,,spheroid_rx_2.301_rz_9.503,2.301,9.0,[]
spheroid,,,spheroid_rx_5.03_rz_8.176,5.03,8.0,[]
spheroid,,,spheroid_rx_8.601_rz_8.17,8.601,8.0,[]
spheroid,,,spheroid_rx_3.132_rz_6.278,3.1319999999999997,6.0,[]
spheroid,,,spheroid_rx_5.941_rz_2.601,5.941,2.0,[]
spheroid,,,spheroid_rx_5.553_rz_0.331,5.553,0.0,[]
spheroid,,,spheroid_rx_0.273_rz_0.868,0.273,0.0,[]
spheroid,,,spheroid_rx_4.799_rz_0.334,4.7989999999999995,0.0,[]
spheroid,,,spheroid_rx_5.97_rz_7.414,5.97,7.0,[]
spheroid,,,spheroid_rx_5.966_rz_3.922,5.966,3.0,[]
spheroid,,,spheroid_rx_5.371_rz_8.75,5.371,8.0,[]
spheroid,,,spheroid_rx_5.417_rz_2.805,5.4170000000000025,2.0,[]
spheroid,,,spheroid_rx_3.858_rz_8.539,3.858,8.0,[]
spheroid,,,spheroid_rx_8.056_rz_7.84,8.056000000000001,7.0,[]
spheroid,,,spheroid_rx_6.78_rz_7.553,6.78,7.0,[]
spheroid,,,spheroid_rx_9.813_rz_8.272,9.812999999999999,8.0,[]
spheroid,,,spheroid_rx_5.758_rz_3.929,5.757999999999999,3.0,[]
