geometry_id,mesh_id,clscale,clmax,mesh_filepath
wire/Lx_0.3/D_0.04/,wire/Lx_0.3/D_0.04//clscale_1_clmax_1,1.0,1.0,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.3/D_0.04//clscale_1_clmax_1.msh
wireSphEnds/Lx_0.3/D_0.04/,wireSphEnds/Lx_0.3/D_0.04//clscale_1_clmax_1,1.0,1.0,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wireSphEnds/Lx_0.3/D_0.04//clscale_1_clmax_1.msh
wireSphEnds/Lx_0.3/D_0.04/,wireSphEnds/Lx_0.3/D_0.04//clscale_0.9_clmax_1.2,0.9,1.2,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wireSphEnds/Lx_0.3/D_0.04//clscale_0.9_clmax_1.2.msh
wireSphEnds/Lx_0.3/D_0.04/,wireSphEnds/Lx_0.3/D_0.04//clscale_0.95_clmax_1.2,0.95,1.2,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wireSphEnds/Lx_0.3/D_0.04//clscale_0.95_clmax_1.2.msh
wire/Lx_0.3/D_0.04/,wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1.2,0.95,1.2,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1.2.msh
wire/Lx_0.3/D_0.04/,wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1,0.95,1.0,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.3/D_0.04//clscale_0.95_clmax_1.msh
wire/Lx_0.4/D_0.04/,wire/Lx_0.4/D_0.04//clscale_0.95_clmax_1,0.95,1.0,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.4/D_0.04//clscale_0.95_clmax_1.msh
wire/Lx_0.4/D_0.08/,wire/Lx_0.4/D_0.08//clscale_0.95_clmax_1,0.95,1.0,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//wire/Lx_0.4/D_0.08//clscale_0.95_clmax_1.msh
spheroid/rx_0.4/rz_0.08/,spheroid/rx_0.4/rz_0.08//clscale_0.95_clmax_1,0.95,1.0,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//spheroid/rx_0.4/rz_0.08//clscale_0.95_clmax_1.msh
spheroid/rx_0.04/rz_0.08/,spheroid/rx_0.04/rz_0.08//clscale_0.95_clmax_1,0.95,1.0,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//spheroid/rx_0.04/rz_0.08//clscale_0.95_clmax_1.msh
spheroid/rx_0.04/rz_0.08/,spheroid/rx_0.04/rz_0.08//clscale_0.5_clmax_1,0.5,1.0,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//spheroid/rx_0.04/rz_0.08//clscale_0.5_clmax_1.msh
sphere/D_0.04/,sphere/D_0.04//clscale_0.5_clmax_1,0.5,1.0,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.04//clscale_0.5_clmax_1.msh
sphere/D_0.07/,sphere/D_0.07//clscale_0.5_clmax_1,0.5,1.0,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.07//clscale_0.5_clmax_1.msh
sphere/D_0.07/,sphere/D_0.07//clscale_0.5_clmax_0.01,0.5,0.01,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.07//clscale_0.5_clmax_0.01.msh
sphere/D_0.04/,sphere/D_0.04//clscale_0.5_clmax_0.01,0.5,0.01,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.04//clscale_0.5_clmax_0.01.msh
sphere/D_0.111/,sphere/D_0.111//clscale_0.5_clmax_0.01,0.5,0.01,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.111//clscale_0.5_clmax_0.01.msh
sphere/D_0.0111/,sphere/D_0.0111//clscale_0.5_clmax_0.01,0.5,0.01,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.0111//clscale_0.5_clmax_0.01.msh
sphere/D_0.0222/,sphere/D_0.0222//clscale_0.5_clmax_0.01,0.5,0.01,results/compare_Tmatrix_scattering_fixed_tmatrix_fixed_mesh____test_datastructure//sphere/D_0.0222//clscale_0.5_clmax_0.01.msh
